date,365_nm,404_nm,464_nm,522_nm,624_nm,760_nm,970_nm
17-Jul-19,2.0,1.84,1.98,1.62,1.55,1.46,1.14
15-Oct-19,2.2,2.07,2.28,2.09,2.12,2.08,2.09
05-Feb-20,2.7,2.49,2.79,2.47,2.33,2.29,2.01
10-Jun-20,3.75,3.44,3.73,3.1,2.91,2.85,2.6
30-Sep-20,1.34,1.04,1.16,1.24,1.04,0.94,0.53
05-Mar-21,2.53,2.22,2.44,3.5,2.26,2.23,2.1
30-Jun-21,2.6,2.29,2.54,3.73,2.37,2.32,2.17
15-Dec-21,3.25,2.76,2.96,2.63,2.25,2.16,1.7
12-Apr-22,2.98,2.57,2.73,2.34,2.04,1.99,1.53
13-Mar-23,2.0,1.39,1.45,1.51,1.15,1.05,0.59
07-Jul-24,2.28,2.72,2.55,3.17,1.84,2.01,1.88
08-Jul-24,1.05,1.32,1.26,1.58,0.89,1.16,1.06
21-Oct-24,1.49,1.86,1.48,0.99,1.05,1.45,1.28
05-Nov-24,1.65,2.07,1.61,1.18,1.2,1.85,1.65
12-Nov-24,1.46,1.78,1.5,1.01,1.1,1.69,1.53
19-Nov-24,1.79,2.15,1.75,1.17,1.26,1.66,1.52
26-Nov-24,1.78,2.19,1.76,1.21,1.15,1.78,1.63
03-Dec-24,1.65,2.09,1.65,1.26,1.27,1.86,1.69
10-Dec-24,1.91,2.28,1.84,1.28,1.3,1.84,1.69
16-Jan-25,1.54,1.94,1.58,1.08,1.12,1.54,1.46
20-Feb-25,1.61,1.99,0.97,0.8,0.77,1.11,0.93
27-Feb-25,2.36,2.85,2.51,1.78,1.84,1.94,1.88
03-Apr-25,1.93,2.29,1.97,1.42,1.42,1.9,1.71
29-Apr-25,0.62,0.77,1.07,0.44,0.5,0.34,0.27
08-May-25,0.81,0.94,1.13,0.48,0.5,0.38,0.24
15-May-25,0.94,1.21,1.43,0.69,0.76,0.56,0.44
20-May-25,0.82,0.98,1.22,0.5,0.56,0.39,0.3
29-May-25,0.64,0.88,1.12,0.49,0.55,0.4,0.29
11-Jun-25,0.68,0.84,1.11,0.48,0.52,0.43,0.31
19-Jun-25,0.74,0.89,1.15,0.54,0.56,0.44,0.34
03-Jul-25,0.7,0.9,1.2,0.5,0.6,0.5,0.3
10-Jul-25,0.66,0.86,1.12,0.47,0.53,0.42,0.26
17-Jul-25,0.6,0.84,1.12,0.51,0.55,0.49,0.34
08-Jan-26,0.9,1.1,1.3,0.6,0.6,0.5,0.3
05-Feb-26,0.9,1.1,1.3,0.6,0.6,0.4,0.3
19-Feb-26,0.9,1.2,1.4,0.7,0.7,0.6,0.5
26-Feb-26,1.1,1.4,1.4,0.7,0.7,0.5,0.4
05-Mar-26,0.9,1.1,1.3,0.6,0.6,0.5,0.3
12-Mar-26,0.8,1.1,1.3,0.6,0.6,0.5,0.4
