date,365_nm,404_nm,464_nm,522_nm,624_nm,760_nm,970_nm
29-Apr-24,0.75,0.78,0.86,0.80,0.83,0.79,0.54
27-May-24,1.30,1.33,1.43,1.48,1.45,1.38,1.17
18-Jun-24,0.77,1.12,1.18,1.72,1.08,1.38,1.40
22-Jul-24,1.00,1.41,1.64,2.48,1.61,1.97,2.06
29-Jul-24,0.98,1.38,1.49,2.20,1.45,1.87,1.92
12-Aug-24,1.13,1.52,1.78,2.78,1.80,2.25,2.38
9-Sep-24,1.31,1.79,2.05,3.10,2.03,2.37,2.52
21-Oct-24,1.88,2.49,2.27,1.71,1.74,2.11,1.99
12-Nov-24,2.17,2.74,2.58,2.13,2.34,2.94,2.86
26-Nov-24,2.60,3.30,3.29,2.69,2.99,3.54,3.48
3-Dec-24,2.62,3.41,3.32,2.79,3.07,3.60,3.54
18-Dec-24,2.96,3.80,3.81,3.22,3.56,4.00,3.92
16-Jan-25,4.07,5.17,5.02,4.12,4.53,4.88,4.77
13-Feb-25,3.64,4.55,4.56,3.85,4.06,4.24,4.22
27-Feb-25,4.28,5.24,5.11,4.26,4.57,4.67,4.57
13-Mar-25,4.10,5.02,4.87,3.94,4.07,4.24,4.07
20-Mar-25,3.81,4.56,4.34,3.54,3.53,3.63,3.49
27-Mar-25,3.79,4.50,4.29,3.47,3.46,3.55,3.42
3-Apr-25,4.49,5.35,5.19,4.32,4.55,4.98,4.79
29-Apr-25,4.38,4.98,5.02,4.19,4.27,4.76,4.62
8-May-25,4.52,5.17,5.22,4.30,4.40,4.92,4.82
15-May-25,4.37,4.92,4.98,4.12,4.20,4.72,4.61
20-May-25,4.25,4.82,4.91,4.01,4.13,4.68,4.55
29-May-25,4.30,4.86,4.95,4.06,4.18,4.73,4.58
11-Jun-25,4.40,5.01,5.04,4.23,4.29,4.91,4.75
19-Jun-25,4.34,4.96,5.07,4.19,4.26,4.86,4.72
3-Jul-25,4.66,5.29,5.43,4.42,4.59,5.22,5.21
10-Jul-25,4.33,4.92,5.03,4.17,4.24,4.80,4.68
17-Jul-25,4.28,4.78,4.86,4.03,4.07,4.65,4.52
8-Jan-26,1,1.27,1.46,0.78,0.75,0.66,0.52
5-Feb-26,1.14,1.38,1.58,0.91,1,0.79,0.67
12-Feb-26,1.14,1.38,1.58,0.91,1,0.79,0.67
19-Feb-26,1.22,1.54,1.73,0.99,1.04,0.85,0.7
26-Feb-26,1.26,1.6,1.85,1.13,1.23,1.04,0.87
5-Mar-26,1.6,2.02,2.24,1.49,1.54,1.3,1.17
12-Mar-26,1.7,2.1,2.4,1.7,1.7,1.5,1.4
